year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1948,2344,4349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10038,9363,7742,5587,2303
1949,2124,4197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9879,9308,7661,5438,2329
1950,2186,4255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10060,9445,7790,5508,2336
1951,2156,3780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10134,9607,8012,5711,2382
1952,2107,3183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10352,9753,8144,5804,2343
1953,2136,2901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10500,10229,8374,5808,2483
1954,1985,2724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10254,10082,8330,5830,2414
1955,2095,2973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10453,10267,8553,5857,2424
1956,2164,3245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10337,10385,8732,6004,2512
1957,2115,3346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10222,10427,8851,6002,2394
1958,2012,3293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9790,10291,8828,5955,2254
1959,2198,3597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9862,10492,9048,6058,2210
1960,2361,3754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9759,10552,9182,6105,2191
1961,2315,3795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9591,10505,9195,6155,2098
1962,2362,3898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9475,10711,9333,6260,2138
1963,2406,4118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9431,10801,9478,6385,2038
1964,2587,4370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9531,10832,9637,6478,2039
1965,2918,4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9611,10837,9792,6542,2057
1966,3253,4599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9709,10764,9904,6668,2024
1967,3186,4809,5169,4820,5140,5536,5258,4732,3962,2813,1216,521,325,9988,10674,9990,6774,2058
1968,3255,4812,5496,4910,5034,5520,5350,4752,4038,2854,1224,521,349,10405,10554,10102,6893,2093
1969,3430,5012,5721,5015,4958,5443,5410,4777,4089,2842,1243,518,361,10736,10401,10187,6931,2122
1970,3409,5237,5877,5059,4895,5321,5398,4772,4095,2834,1227,529,338,10936,10216,10170,6928,2094
1971,3478,5593,6043,5175,4823,5205,5358,4781,4094,2821,1173,522,324,11218,10028,10139,6916,2019
1972,3765,6138,6403,5482,4897,5190,5256,4883,4059,2869,1115,514,324,11884,10088,10139,6929,1953
1973,4039,6655,6804,5813,4999,5128,5240,4958,4060,2796,1061,495,300,12617,10126,10197,6857,1856
1974,4103,6739,7049,6070,5060,5075,5188,4993,4072,2807,1076,499,292,13119,10135,10181,6880,1869
1975,3839,6484,7119,6086,5018,4874,5050,4854,4029,2693,1036,483,293,13205,9891,9902,6722,1811
1976,3947,6915,7527,6342,5188,4881,5006,4876,4089,2635,989,469,274,13869,10069,9881,6724,1732
1977,4174,7232,7660,6823,5456,4943,4989,4843,4210,2638,1016,463,282,14483,10399,9832,6848,1761
1978,4336,7559,7937,7187,5825,5021,4935,4871,4296,2657,1074,487,295,15124,10845,9806,6954,1855
1979,4300,7791,8193,7495,6087,5115,4903,4833,4319,2697,1084,517,275,15688,11202,9735,7015,1876
1980,4085,7532,8139,7694,6205,5150,4770,4778,4290,2709,1058,491,285,15832,11355,9548,6999,1835
1981,3815,7504,8295,7971,6373,5241,4741,4737,4243,2667,1046,470,296,16266,11613,9478,6909,1812
1982,3379,7197,8154,7848,6584,5318,4664,4571,4151,2630,1013,474,288,16002,11902,9234,6781,1776
1983,3300,7232,8320,7896,6864,5586,4692,4442,4061,2626,988,495,287,16216,12450,9133,6686,1770
1984,3322,7571,8835,8331,7365,5944,4867,4459,4055,2639,951,475,276,17166,13309,9326,6694,1703
1985,3328,7339,8922,8642,7608,6192,4990,4421,4064,2689,989,450,257,17564,13800,9411,6753,1695
1986,3323,7250,9163,8929,8033,6233,5130,4424,4002,2652,1040,458,255,18092,14266,9554,6654,1753
1987,3381,7058,9251,9236,8197,6702,5306,4444,4027,2655,1108,464,278,18487,14898,9750,6682,1850
1988,3492,6918,9238,9465,8408,7050,5630,4571,3954,2638,1122,491,298,18702,15457,10201,6591,1911
1989,3477,6799,9204,9747,8617,7385,5850,4718,3890,2658,1155,510,303,18952,16002,10569,6548,1968
1990,3427,7151,9155,9624,8890,7881,6011,4679,3775,2603,1113,498,298,18779,16771,10690,6378,1909
1991,3044,6909,8742,9523,8928,8158,6127,4685,3693,2553,1062,492,306,18265,17086,10813,6245,1860
1992,2944,6819,8425,9541,9085,8144,6517,4848,3700,2473,1100,522,321,17966,17230,11365,6173,1943
1993,2994,6805,8290,9586,9326,8339,6812,5114,3738,2429,1081,527,308,17877,17665,11927,6166,1916
1994,3156,6771,8141,9600,9526,8585,7154,5286,3793,2349,1123,566,399,17741,18111,12439,6142,2089
1995,3292,6665,8166,9543,9620,8754,7506,5451,3897,2375,1139,606,363,17709,18374,12958,6272,2108
1996,3310,6429,8198,9330,9781,9035,7838,5645,4048,2422,1179,628,364,17527,18816,13483,6470,2172
1997,3401,6548,8162,9177,9967,9360,7935,6172,4258,2478,1197,625,407,17338,19327,14107,6735,2229
1998,3558,6638,8102,8995,9995,9638,8132,6412,4484,2568,1165,606,400,17097,19634,14544,7052,2171
1999,3685,6729,7949,8745,9999,9811,8302,6689,4671,2603,1177,642,444,16694,19811,14991,7274,2263
2000,3671,6974,8197,9044,9793,9744,8589,7282,4873,2733,1281,667,458,17241,19537,15871,7606,2406
2001,3420,6952,7936,8979,9516,9789,8778,7489,5053,2846,1287,672,478,16915,19305,16268,7900,2437
2002,3169,6978,7722,8851,9259,9672,8881,7538,5382,2996,1365,637,452,16573,18932,16419,8378,2455
2003,2917,7065,7817,8853,9115,9659,8998,7590,5584,3149,1397,680,508,16670,18774,16588,8733,2585
