year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1948,1682,2588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3763,3687,2882,1516,501
1949,1588,2463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3760,3800,2975,1604,535
1950,1517,2491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3857,3979,3176,1757,563
1951,1611,2541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4099,4139,3409,1847,535
1952,1612,2389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4163,4305,3543,1981,576
1953,1584,2324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4019,4545,3595,1998,683
1954,1490,2247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3936,4459,3646,2065,646
1955,1547,2297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4028,4612,4003,2301,761
1956,1654,2300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4070,4833,4246,2515,802
1957,1663,2295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4031,4921,4469,2551,785
1958,1570,2278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3885,4866,4620,2604,791
1959,1640,2273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3847,4962,4867,2764,813
1960,1768,2365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3871,5046,5056,2884,882
1961,1793,2432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3838,5047,5125,2965,889
1962,1833,2548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3836,5190,5158,3086,875
1963,1849,2697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3887,5313,5271,3211,877
1964,1929,2933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3918,5334,5457,3326,934
1965,2118,3119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4093,5457,5528,3486,948
1966,2468,3365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4308,5548,5711,3642,937
1967,2496,3690,2426,2160,2564,3043,3031,2768,2311,1450,573,263,120,4587,5607,5799,3762,953
1968,2526,3950,2631,2229,2569,3097,3158,2824,2344,1507,585,251,137,4860,5666,5981,3852,972
1969,2687,4307,2782,2365,2612,3087,3298,2925,2479,1509,611,278,143,5147,5699,6223,3988,1033
1970,2735,4494,2937,2443,2628,3077,3321,2982,2476,1570,619,260,144,5382,5706,6303,4046,1023
1971,2730,4609,3053,2511,2624,3023,3305,3008,2482,1611,618,254,149,5563,5647,6313,4093,1021
1972,2980,4861,3496,2700,2701,3033,3232,3086,2477,1640,643,257,150,6197,5734,6318,4115,1051
1973,3231,5184,3885,3008,2869,3046,3220,3136,2481,1628,622,256,150,6893,5915,6356,4109,1029
1974,3345,5363,4249,3242,3005,3063,3227,3224,2482,1602,593,232,142,7492,6068,6451,4084,966
1975,3263,5401,4488,3394,3029,3032,3172,3116,2530,1575,608,239,144,7882,6061,6288,4105,989
1976,3389,5655,4927,3697,3274,3124,3217,3126,2600,1588,645,235,137,8624,6400,6343,4188,1017
1977,3514,5965,5187,4179,3552,3206,3236,3144,2683,1595,644,248,135,9367,6758,6380,4279,1027
1978,3734,6328,5574,4583,3849,3432,3326,3206,2804,1642,675,278,138,10157,7282,6532,4446,1091
1979,3783,6538,5837,4965,4187,3591,3322,3300,2849,1720,707,269,147,10802,7779,6622,4569,1124
1980,3625,6555,6028,5342,4408,3760,3346,3340,2852,1734,703,282,140,11370,8168,6686,4587,1125
1981,3411,6618,6212,5702,4619,3913,3449,3327,2883,1732,694,284,155,11914,8532,6777,4616,1133
1982,3170,6492,6389,5758,4914,4063,3483,3206,2850,1784,704,280,163,12147,8977,6689,4634,1147
1983,3043,6490,6595,5945,5185,4324,3509,3169,2783,1845,695,299,163,12540,9510,6678,4629,1157
1984,3122,6636,6893,6290,5669,4620,3643,3209,2837,1863,675,303,155,13182,10289,6852,4700,1133
1985,3105,6640,7044,6600,5994,4939,3831,3267,2849,1872,668,312,138,13644,10933,7097,4721,1118
1986,3149,6540,7268,6841,6482,5113,4055,3340,2894,1858,724,288,154,14109,11595,7395,4751,1165
1987,3260,6466,7462,7155,6637,5644,4296,3441,2922,1861,742,289,160,14617,12281,7737,4783,1191
1988,3313,6326,7490,7382,6846,5965,4646,3600,2938,1904,799,324,163,14872,12811,8246,4841,1286
1989,3282,6163,7476,7617,7080,6361,4972,3738,2964,1986,869,340,179,15093,13440,8711,4950,1388
1990,3154,6250,7465,7690,7298,6748,5103,3732,2886,1925,896,352,189,15155,14046,8835,4811,1437
1991,2862,6066,7149,7647,7453,7054,5240,3830,2883,1873,887,350,203,14796,14507,9069,4756,1440
1992,2724,6053,7010,7691,7576,7117,5641,4016,2924,1901,831,362,205,14701,14693,9657,4825,1398
1993,2811,6035,6816,7692,7750,7252,5939,4310,3000,1892,840,364,210,14508,15002,10248,4892,1414
1994,3005,5987,6792,7753,7996,7492,6356,4552,3189,1896,922,400,270,14545,15488,10908,5085,1592
1995,3127,5779,6831,7816,8149,7679,6658,4762,3260,1903,894,430,235,14647,15828,11421,5163,1558
1996,3190,5709,6923,7626,8280,7954,7089,4941,3358,1911,860,409,249,14549,16235,12031,5269,1518
1997,3260,5831,7001,7470,8372,8209,7155,5482,3558,2003,883,409,239,14471,16581,12637,5561,1532
1998,3493,5919,6959,7339,8237,8407,7345,5697,3795,2025,877,430,247,14298,16644,13043,5820,1554
1999,3487,6163,6888,7284,8346,8571,7602,6042,3985,2056,888,446,286,14171,16917,13644,6041,1619
2000,3519,6255,6952,7355,8241,8656,7896,6543,4173,2223,968,477,328,14308,16897,14438,6396,1773
2001,3320,6396,6632,7316,8119,8626,8012,6756,4349,2396,996,511,309,13948,16744,14768,6745,1815
2002,3162,6374,6482,7252,7763,8540,8064,6799,4743,2553,1013,507,331,13733,16303,14863,7296,1851
2003,3002,6367,6522,7191,7547,8559,8327,6999,5101,2765,1119,509,396,13714,16106,15326,7866,2023
2004,2955,6477,6532,7073,7403,8477,8393,7125,5266,2890,1178,541,416,13605,15880,15518,8157,2135
2005,3055,6513,6753,6933,7420,8430,8486,7292,5634,3001,1228,568,441,13687,15850,15779,8635,2238
2006,3091,6467,7134,6783,7481,8324,8566,7566,6001,3196,1295,583,438,13917,15804,16132,9198,2316
2007,2994,6590,7304,6829,7456,8180,8608,7745,6063,3489,1423,626,484,14133,15636,16353,9553,2534
2008,2837,6484,7397,6803,7437,7922,8565,7841,6199,3694,1528,644,525,14200,15360,16406,9893,2697
2009,2509,6254,7097,6694,7072,7527,8384,7786,6279,3849,1552,685,520,13791,14599,16170,10128,2757
2010,2249,6233,7151,6720,6781,7297,8132,7817,6391,4104,1609,688,533,13870,14078,15949,10496,2830
2011,2219,6209,7032,6831,6563,7337,7899,7854,6457,4260,1694,684,539,13863,13900,15753,10717,2917
