year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
1959,46.70963718,64.28428228,,,,,,,,,,,
1960,47.5166863,65.25209266,,,,,,,,,,,
1961,46.93741678,65.66515495,,,,,,,,,,,
1962,46.14662536,65.24463282,,,,,,,,,,,
1963,45.18512004,65.18098561,,,,,,,,,,,
1964,44.48113597,66.27278023,,,,,,,,,,,
1965,45.71185523,66.37196592,,,,,,,,,,,
1966,48.23806371,66.54007437,,,,,,,,,,,
1967,48.36436466,67.1335966,,,,,,,,,,,
1968,48.31362243,66.98581816,,,,,,,,,,,
1969,49.44665153,68.18746549,,,,,,,,,,,
1970,49.92768097,69.15747569,,,,,,,,,,,
1971,49.71710045,69.31971124,,,,,,,,,,,
1972,51.92444072,70.76357697,,,,,,,,,,,
1973,53.68979231,72.60498502,,,,,,,,,,,
1974,54.81399085,73.99133044,,,,,,,,,,,
1975,54.02606895,73.94063239,,,,,,,,,,,
1976,54.51152712,74.74620617,,,,,,,,,,,
1977,56.03427613,75.71238893,,,,,,,,,,,
1978,57.81371668,76.81927229,,,,,,,,,,,
1979,57.85555622,77.47862828,,,,,,,,,,,
1980,56.68862963,77.16016477,,,,,,,,,,,
1981,55.43357592,77.32097402,,,,,,,,,,,
1982,54.0886887,77.15039578,,,,,,,,,,,
1983,53.49263502,77.17307692,,,,,,,,,,,
1984,53.90566678,77.56187162,,,,,,,,,,,
1985,54.46711706,78.21067821,,,,,,,,,,,
1986,54.67715232,78.90541162,,,,,,,,,,,
1987,54.68985348,78.95097522,,,,,,,,,,,
1988,55.27946035,78.68612347,,,,,,,65.70400443,43.38609645,,,
1989,55.87283725,78.6185853,,,,,,,66.55094764,44.58806026,,,
1990,53.6707989,77.7695482,,,,,,,67.03574204,44.83354121,,,
1991,51.62367654,76.71781891,,,,,,,66.88077859,44.25,,,
1992,51.2716763,77.05083307,83.44173576,83.85508425,84.65641221,85.51424177,83.75212668,78.50553506,67.4441111,44.96154221,20.62224951,11.12729038,4.454672475
1993,51.45317546,76.99817616,83.08138647,83.42523956,84.37834069,85.38273404,83.87743593,78.70532168,67.23088627,45.02883277,20.29222438,10.87965718,4.330360729
1994,52.69794308,77.00103525,82.99849452,83.31518781,84.28826192,85.40988609,84.17020767,78.46813069,67.69874477,44.8582996,21.9379367,11.79854426,5.437593042
1995,53.51112949,76.62337662,83.43207676,84.15723097,84.29314635,84.95706983,83.82672305,78.32442861,68.06013935,45.14093823,21.83257919,12.5450529,4.70202713
1996,52.26998795,76.83956574,84.21328855,83.90490117,84.51491703,85.19947899,84.24814491,79.16184971,68.47894125,45.76323035,21.93535061,12.49853989,4.700917975
1997,51.62382037,77.582846,84.77466504,84.02902056,84.74095103,85.3929425,84.29756547,80.45892427,69.35803533,46.62626263,22.52960285,12.58667293,4.778646768
1998,52.77422654,77.51946797,84.88884116,84.37608534,84.18637801,85.29519451,84.67879175,79.93448519,69.51469024,46.84926069,22.48854799,12.47663551,4.674597621
1999,51.95137157,77.54341051,84.61202901,84.67179304,84.62397784,85.12311287,84.50631339,80.29268893,69.78112497,46.3894543,23.02553604,13.06791569,5.128554866
2000,51.97963801,77.82207416,84.52814038,84.72839938,84.28487345,85.26884139,84.51387153,80.31299614,68.92012494,47.1995549,24.49883942,13.54631856,5.283513602
2001,49.60763388,77.11500768,83.65720524,84.39435224,84.29425287,84.96702905,84.17936523,80.22188217,69.19397444,49.17302799,24.70884482,14.12665275,5.212964753
2002,47.42403401,76.39549307,83.47261931,83.87891935,83.82697535,84.41212981,83.83239216,80.11052688,70.67310919,50.50249061,26.06405394,14.0002351,5.085710671
2003,44.54522863,75.38632461,82.45369128,83.2810355,83.47268409,84.26594995,83.78203049,80.19639935,71.3088,50.97909609,27.3902617,14.5577105,5.762941939
2004,43.8540254,75.03094519,82.00684751,83.38177809,83.45404171,83.82554187,83.65696532,79.7975102,71.06633184,50.90533672,27.65306122,15.2726405,6.12940532
2005,43.68825467,74.60544486,82.37014987,83.20224719,83.4917849,84.04463412,83.39398841,79.80352645,71.4227595,51.63605495,28.32404459,16.34362288,6.39740743
2006,43.65631371,74.57685665,82.90312936,83.1645966,83.63997289,84.04905199,83.40799219,80.27906063,72.02069656,52.5259309,28.9614301,16.95662536,6.379962193
2007,41.29077847,74.43579576,83.12709274,83.57709987,83.38316135,84.17578359,83.41644235,80.42811991,72.02374409,53.32310482,29.68808368,17.22018674,6.840963714
