year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1948,4078,5527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10767,9798,8290,6441,5093
1949,3946,5405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10871,9926,8379,6568,5226
1950,3962,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10963,10034,8472,6664,5357
1951,3725,4451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10709,10049,8551,6737,5503
1952,3767,3788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10855,10164,8655,6798,5670
1953,3823,3482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11020,10632,8878,6798,6119
1954,3953,3509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11067,10718,9018,6885,6241
1955,4022,3708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11068,10804,9164,6960,6380
1956,4020,3970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10983,10889,9322,7032,6505
1957,4083,4166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10889,10965,9499,7109,6602
1958,4293,4339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10787,11076,9675,7179,6683
1959,4652,4488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10625,11149,9832,7259,6785
1960,4963,4679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10514,11230,10000,7373,6901
1961,5112,4844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10440,11286,10112,7483,7006
1962,5150,4925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10207,11389,10162,7610,7386
1963,5496,5240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10165,11476,10274,7740,7526
1964,5866,5520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10144,11466,10402,7873,7574
1965,6318,5701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10182,11427,10512,7990,7649
1966,6658,5663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10224,11294,10598,8099,7723
1967,6537,5977,5483,5014,5346,5816,5581,5125,4495,3724,2895,2226,2690,10495,11161,10705,8218,7809
1968,6683,6127,5840,5104,5254,5786,5671,5148,4574,3762,2954,2151,2793,10944,11040,10819,8336,7897
1969,6928,6379,6099,5211,5165,5725,5744,5191,4651,3814,3016,2140,2833,11309,10890,10935,8464,7990
1970,7145,6861,6405,5345,5154,5656,5799,5254,4715,3875,3074,2154,2866,11750,10810,11052,8590,8093
1971,7430,7511,6707,5521,5146,5576,5808,5321,4766,3947,3121,2181,2905,12227,10721,11129,8711,8208
1972,7705,8061,7083,5828,5220,5543,5707,5460,4782,4115,3165,2277,2889,12911,10762,11167,8895,8330
1973,7855,8429,7491,6152,5285,5461,5682,5519,4817,4174,3226,2313,2887,13641,10746,11202,8990,8426
1974,8012,8600,7792,6470,5389,5446,5660,5655,4877,4264,3400,2334,2908,14262,10834,11315,9140,8641
1975,8134,8950,8189,6711,5497,5377,5635,5663,4985,4300,3509,2370,2973,14899,10874,11298,9286,8852
1976,8244,9237,8600,6928,5656,5354,5589,5654,5102,4343,3593,2426,3034,15528,11010,11243,9444,9053
1977,8288,9477,8685,7424,5889,5372,5529,5616,5237,4379,3692,2525,3080,16108,11260,11144,9616,9297
1978,8309,9693,8858,7740,6230,5434,5458,5588,5336,4422,3755,2611,3142,16598,11665,11045,9758,9509
1979,8310,9873,9109,8083,6520,5526,5387,5557,5405,4501,3823,2698,3225,17193,12046,10944,9907,9746
1980,8260,10023,9377,8456,6766,5633,5324,5537,5426,4617,3856,2803,3319,17833,12400,10861,10042,9979
1981,8092,10116,9591,8836,6974,5785,5301,5496,5423,4728,3889,2876,3405,18427,12758,10797,10151,10170
1982,7879,10136,9824,8963,7412,5999,5325,5401,5391,4824,3919,2948,3504,18787,13410,10726,10215,10371
1983,7659,10140,10041,9101,7768,6298,5371,5318,5356,4905,3955,3012,3606,19143,14067,10689,10261,10573
1984,7386,10108,10251,9345,8155,6564,5483,5241,5318,4966,4000,3075,3713,19596,14719,10724,10285,10788
1985,7275,9746,10239,9626,8404,6861,5617,5227,5340,5051,4188,3119,3777,19864,15265,10844,10392,11084
1986,7275,9498,10488,10010,8923,6936,5767,5219,5308,5029,4313,3177,3857,20498,15858,10986,10336,11347
1987,7335,9195,10508,10273,9054,7422,5960,5255,5249,5018,4411,3245,3976,20781,16475,11215,10267,11632
1988,7304,8931,10449,10488,9245,7763,6274,5351,5166,5026,4462,3311,4086,20937,17008,11625,10193,11859
1989,7143,8743,10382,10698,9482,8107,6524,5457,5074,5018,4548,3379,4207,21080,17590,11981,10092,12134
1990,7347,9320,10387,10729,9795,8733,6795,5444,4918,4860,4422,3354,4273,21117,18529,12238,9778,12049
1991,7134,9367,10134,10842,10063,9150,6985,5569,4917,4863,4394,3450,4410,20977,19213,12554,9780,12254
1992,7023,9326,9887,10905,10328,9257,7486,5785,4965,4812,4414,3555,4527,20792,19585,13271,9776,12496
1993,7076,9216,9644,10925,10588,9448,7819,6125,5040,4733,4415,3646,4656,20569,20037,13944,9773,12717
1994,7203,9074,9473,10889,10772,9671,8185,6359,5155,4655,4393,3716,4809,20361,20443,14545,9810,12918
1995,7367,8835,9375,10704,10895,9906,8572,6539,5226,4630,4423,3763,4944,20079,20800,15111,9856,13130
1996,7600,8611,9344,10431,11007,10215,8951,6724,5373,4624,4454,3739,5134,19775,21222,15674,9997,13327
1997,7836,8706,9281,10197,11137,10532,9017,7259,5582,4700,4360,3737,5372,19478,21669,16276,10282,13469
1998,7968,8804,9139,9955,11083,10774,9212,7561,5879,4771,4304,3770,5539,19094,21857,16773,10649,13613
1999,8167,8899,8931,9634,11026,10942,9444,7892,6123,4885,4279,3776,5724,18565,21969,17335,11008,13779
2000,8089,9101,9221,9885,10813,10871,9759,8606,6475,5108,4366,3851,5820,19106,21683,18365,11583,14037
2001,8101,9368,9089,9967,10638,11005,10052,8935,6757,5215,4393,3807,5955,19056,21643,18987,11972,14155
2002,8146,9627,9031,10005,10471,11053,10289,9090,7201,5440,4388,3772,6073,19037,21523,19379,12641,14233
2003,8163,9878,9262,10085,10340,11123,10563,9221,7528,5777,4449,3769,6279,19347,21463,19784,13305,14496
2004,8234,10125,9478,9879,10135,11121,10729,9432,7916,5978,4573,3721,6391,19358,21255,20160,13894,14684
