year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1948,4371,6003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11843,10299,8481,6444,5627
1949,4269,5907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11951,10475,8623,6633,5809
1950,4181,5810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12050,10647,8768,6805,6006
1951,4140,5716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12134,10814,8913,6955,6221
1952,4155,5601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12189,10973,9061,7091,6456
1953,4191,5478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12246,11290,9113,7032,6956
1954,4271,5376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12237,11417,9287,7200,7134
1955,4342,5328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12181,11544,9479,7349,7348
1956,4414,5301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12089,11678,9690,7484,7570
1957,4529,5320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11960,11821,9925,7618,7774
1958,4693,5394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11776,11949,10157,7744,7974
1959,4966,5487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11576,12058,10371,7875,8200
1960,5224,5594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11484,12207,10601,8036,8435
1961,5401,5739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11389,12299,10781,8192,8679
1962,5502,5927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11296,12408,10754,8264,9168
1963,5874,6224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11235,12472,10870,8398,9419
1964,6245,6497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11223,12474,11050,8569,9576
1965,6612,6741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11235,12405,11216,8737,9783
1966,6934,6975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11319,12285,11379,8908,9992
1967,6943,7445,6054,5509,5860,6293,6044,5506,4898,4194,3484,2927,3809,11562,12152,11551,9092,10220
1968,7015,7764,6388,5580,5760,6236,6153,5562,5008,4270,3556,2863,4022,11968,11996,11715,9278,10441
1969,7167,8109,6654,5682,5660,6159,6236,5636,5110,4356,3636,2879,4153,12336,11819,11871,9466,10667
1970,7373,8462,6899,5787,5605,6075,6281,5726,5205,4455,3719,2913,4284,12684,11679,12008,9659,10914
1971,7591,8834,7158,5953,5571,5977,6287,5828,5296,4575,3798,2961,4439,13110,11553,12115,9870,11198
1972,7805,9082,7578,6252,5662,5935,6195,5977,5325,4787,3940,3169,4584,13829,11597,12171,10113,11693
1973,7985,9263,7956,6575,5702,5840,6158,6073,5399,4892,4025,3241,4697,14531,11541,12229,10290,11963
1974,8168,9393,8273,6905,5846,5782,6084,6180,5425,4953,4309,3203,4791,15177,11627,12263,10377,12304
1975,8285,9645,8667,7143,5955,5697,6036,6202,5559,4999,4456,3254,4963,15811,11652,12237,10558,12673
1976,8370,9872,9078,7347,6108,5678,5961,6205,5691,5050,4573,3331,5126,16425,11786,12166,10742,13030
1977,8400,10103,9164,7845,6331,5704,5885,6169,5844,5098,4678,3464,5158,17008,12036,12053,10940,13300
1978,8386,10315,9329,8164,6669,5766,5805,6126,5965,5154,4749,3595,5314,17493,12435,11932,11118,13658
1979,8347,10480,9559,8511,6954,5861,5729,6079,6048,5256,4804,3731,5485,18070,12815,11808,11303,14021
