"Table 1. Central birth rates, by live-birth order, current age, and race of women in each cohort from 1911 through 1991: United States, 1960-2005",,,,,,,,,,,
,,,,,,,,,,,
"[A cohort is identified by the year in which the women were born. Because these women retain this designation throughout their childbearing years, their fertility can be followed over time. Live-birth order refers to number of children born alive to mother. Central birth rates are per 1,000 women in specified single year of age cohort group and are based on births adjusted for underregistration (1960-1979 only) and numbers of women adjusted for misstatements of age in the censuses (1960-2005). For method of computation, see Technical Appendix to the Cohort Fertility Tables]",,,,,,,,,,,
,,,,,,,,,,,
Characteristics,,,                                  Live-birth order                          ,,,,,,,,
Race of women and calendar year,Current age of women,Cohort birth year,Total,1,2,3,4,5,6,7,8 and higher
1960,49,1911,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,48,1912,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1961,49,1912,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,47,1913,0.6,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.3
1961,48,1913,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1962,49,1913,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,46,1914,1.5,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.6
1961,47,1914,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.3
1962,48,1914,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1963,49,1914,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,45,1915,2.9,0.1,0.2,0.3,0.4,0.3,0.3,0.3,1.0
1961,46,1915,1.4,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.5
1962,47,1915,0.5,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.2
1963,48,1915,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1964,49,1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,44,1916,5.6,0.2,0.4,0.7,0.7,0.7,0.6,0.5,1.8
1961,45,1916,2.9,0.1,0.2,0.3,0.3,0.4,0.3,0.3,1.0
1962,46,1916,1.4,0.0,0.1,0.1,0.2,0.2,0.2,0.1,0.5
1963,47,1916,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
1964,48,1916,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1965,49,1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,43,1917,9.5,0.4,0.7,1.2,1.3,1.2,1.0,0.8,2.9
1961,44,1917,5.5,0.2,0.4,0.6,0.7,0.7,0.6,0.5,1.8
1962,45,1917,2.8,0.1,0.2,0.3,0.4,0.3,0.3,0.2,1.0
1963,46,1917,1.2,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.5
1964,47,1917,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2
1965,48,1917,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1966,49,1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,42,1918,14.5,0.7,1.2,1.9,2.1,1.9,1.5,1.2,4.0
1961,43,1918,9.5,0.4,0.7,1.1,1.3,1.3,1.0,0.8,2.9
1962,44,1918,5.3,0.2,0.4,0.6,0.7,0.6,0.6,0.4,1.8
1963,45,1918,2.6,0.1,0.2,0.3,0.3,0.3,0.2,0.2,1.0
1964,46,1918,1.2,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.5
1965,47,1918,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1966,48,1918,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1967,49,1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,41,1919,21.2,1.0,1.8,2.9,3.3,2.9,2.3,1.7,5.3
1961,42,1919,14.6,0.6,1.1,1.8,2.2,2.0,1.6,1.3,4.0
1962,43,1919,9.2,0.4,0.6,1.0,1.3,1.2,1.0,0.8,2.9
1963,44,1919,5.2,0.2,0.4,0.6,0.6,0.7,0.5,0.4,1.8
1964,45,1919,2.5,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.9
1965,46,1919,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.5
1966,47,1919,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1967,48,1919,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1968,49,1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,40,1920,29.2,1.4,2.6,4.2,4.8,4.1,3.1,2.4,6.6
1961,41,1920,21.3,1.0,1.7,2.9,3.3,2.9,2.3,1.8,5.4
1962,42,1920,14.1,0.6,1.1,1.7,2.1,1.9,1.5,1.2,4.0
1963,43,1920,9.0,0.3,0.6,1.0,1.2,1.2,1.0,0.8,2.9
1964,44,1920,5.1,0.2,0.3,0.5,0.7,0.6,0.6,0.4,1.8
1965,45,1920,2.4,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.9
1966,46,1920,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.5
1967,47,1920,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1968,48,1920,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1969,49,1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,39,1921,38.8,2.0,3.6,5.9,6.6,5.4,4.1,3.1,8.1
1961,40,1921,29.2,1.4,2.5,4.1,4.7,4.1,3.2,2.4,6.8
