age,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,22466,22709,22944,23184,23412,23638,23863,24145,24372,24591,24805,25015,25219,25420,25617,25803,25988,26166,26338,26507,26669,26829,26982,27130,27274,27413,27546,27675,27799,27913,28024,28131,28228,28327,28415,28498,28575,28649,28715,28776,28831,28879,28923,28960,28990,29015,29035
1,19726,19941,20135,20323,20511,20695,20877,21031,21234,21438,21635,21826,22014,22199,22375,22550,22719,22886,23045,23197,23351,23501,23645,23785,23917,24049,24174,24297,24411,24521,24630,24732,24829,24923,25010,25093,25172,25247,25316,25382,25440,25496,25544,25587,25627,25661,25690
2,17371,17458,17640,17802,17965,18124,18281,18400,18581,18759,18934,19101,19272,19434,19594,19747,19900,20050,20193,20332,20469,20602,20731,20855,20976,21096,21209,21321,21427,21531,21631,21726,21818,21903,21990,22069,22143,22215,22282,22346,22403,22457,22506,22552,22593,22630,22661
3,14985,15102,15152,15311,15442,15580,15707,15796,15953,16108,16260,16404,16550,16691,16829,16966,17094,17222,17347,17465,17585,17702,17812,17922,18029,18133,18230,18328,18425,18516,18604,18684,18769,18847,18919,18990,19055,19122,19181,19238,19292,19343,19388,19433,19472,19507,19537
4,13113,13096,13186,13220,13345,13454,13565,13630,13764,13894,14028,14154,14281,14398,14517,14638,14749,14861,14969,15073,15170,15271,15369,15463,15557,15646,15730,15814,15895,15975,16052,16126,16198,16261,16324,16383,16440,16495,16549,16596,16647,16687,16730,16767,16801,16828,16858
5,11898,11938,11909,11979,11995,12097,12193,12236,12355,12476,12589,12701,12810,12920,13027,13125,13224,13322,13420,13510,13602,13690,13776,13856,13939,14018,14093,14164,14236,14306,14373,14436,14494,14552,14610,14662,14714,14761,14806,14850,14889,14928,14961,14992,15022,15048,15070
6,11192,11326,11364,11318,11378,11383,11479,11505,11617,11730,11836,11937,12040,12139,12232,12330,12421,12511,12598,12682,12763,12845,12923,12998,13072,13143,13213,13279,13345,13404,13465,13519,13578,13629,13680,13728,13773,13816,13857,13894,13929,13959,13992,14019,14045,14065,14085
7,10924,10998,11131,11158,11114,11164,11164,11195,11303,11407,11509,11606,11704,11799,11892,11984,12076,12157,12242,12322,12403,12477,12553,12624,12699,12765,12827,12895,12954,13011,13069,13122,13172,13224,13268,13312,13355,13394,13432,13468,13499,13530,13557,13581,13603,13622,13639
8,10979,11025,11091,11221,11247,11194,11247,11183,11302,11404,11504,11602,11700,11794,11886,11971,12058,12143,12224,12305,12382,12457,12529,12600,12669,12735,12796,12857,12915,12974,13027,13078,13129,13173,13220,13262,13300,13338,13376,13409,13437,13467,13492,13513,13534,13551,13567
9,10952,11075,11121,11180,11307,11319,11269,11246,11280,11373,11473,11566,11658,11749,11841,11928,12012,12094,12175,12251,12328,12401,12471,12540,12605,12668,12732,12791,12847,12903,12954,13005,13051,13099,13138,13181,13219,13256,13290,13322,13350,13378,13400,13420,13442,13456,13470
10,10879,11015,11116,11146,11193,11309,11331,11377,11489,11595,11694,11786,11884,11973,12063,12147,12228,12312,12392,12463,12539,12606,12674,12739,12799,12864,12922,12978,13034,13082,13133,13178,13226,13266,13310,13349,13381,13417,13449,13479,13509,13533,13555,13576,13592,13608,13621
