1972,3256000
1973,3136965
1974,3166000
1975,3144198
1976,3167788
1977,3326632
1978,3333279
1979,3473000
1980,3597000
1981,3645000
1982,3703000
1983,3613000
1984,3696000
1985,3749000
1986,3731000
1987,3827000
1988,3914000
1989,4020000
1990,4177000
1991,4110000
1992,4083000
1993,4040000
1994,3980000
1995,3893000
1996,3899000
1997,3880894
1998,3941553
1999,3959417
2000,4058814
2001,4025933
2002,4021726
2003,4089950
2004,4112052
2005,4138349
2006,4265555
2007,4316233
2008,4247694
2009,4130665
2010,3999386
2011,3953590
2012,3952841
2013,3932181
2014,3988076
