year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
1901,,7544,6729,5713,5126,4378,3561,3045,2279,1843,1345,907,922
1902,,7713,6890,5847,5261,4484,3654,3134,2338,1882,1381,930,945
1903,,7876,7048,5971,5394,4580,3744,3220,2390,1923,1414,951,970
1904,,8047,7210,6105,5530,4681,3837,3313,2444,1966,1450,971,993
1905,,8237,7382,6249,5677,4784,3940,3410,2504,2013,1489,997,1019
1906,,8414,7553,6399,5823,4882,4043,3511,2558,2063,1528,1021,1046
1907,,8584,7715,6542,5967,4978,4146,3609,2615,2109,1565,1046,1073
1908,,8764,7888,6697,6121,5081,4262,3712,2676,2164,1607,1069,1103
1909,,8943,8063,6860,6281,5190,4381,3823,2741,2223,1649,1095,1134
1910,,9117,8243,7031,6453,5306,4516,3938,2813,2288,1692,1124,1170
1911,,9192,8371,7159,6598,5405,4633,4024,2880,2354,1732,1146,1196
1912,,9249,8491,7281,6742,5510,4762,4113,2950,2422,1768,1174,1227
1913,,9333,8634,7436,6920,5642,4913,4222,3040,2502,1815,1203,1263
1914,,9404,8779,7591,7097,5778,5073,4325,3127,2584,1863,1237,1301
1915,,9416,8873,7707,7241,5889,5209,4409,3206,2660,1901,1266,1334
1916,,9423,8959,7817,7383,6005,5350,4496,3288,2738,1941,1294,1368
1917,,9370,8997,7916,7526,6121,5488,4580,3377,2817,1983,1330,1401
1918,,8642,8573,7872,7648,6231,5628,4665,3458,2898,2027,1364,1435
1919,,9071,8918,7994,7715,6293,5704,4698,3510,2946,2048,1384,1454
1920,,9239,9321,8095,7843,6539,5693,4812,3596,3023,2078,1402,1449
1921,,9323,9505,8242,7942,6723,5769,4952,3710,3081,2165,1434,1481
1922,,9373,9502,8422,7914,6909,5829,5070,3857,3094,2255,1464,1512
1923,,9524,9458,8773,7929,7137,5941,5127,4045,3120,2362,1503,1546
1924,,9751,9415,9142,7992,7345,6111,5167,4221,3166,2463,1559,1587
1925,,9907,9350,9370,8076,7500,6304,5217,4362,3243,2537,1618,1631
1926,,10064,9387,9480,8195,7652,6466,5320,4473,3332,2596,1687,1677
1927,,10258,9473,9475,8424,7748,6649,5443,4554,3449,2639,1759,1729
1928,,10472,9584,9369,8732,7808,6835,5595,4600,3578,2667,1845,1787
1929,,10694,9729,9212,9032,7889,6976,5785,4625,3690,2708,1912,1854
1930,,10915,9894,9145,9218,8052,7076,6020,4698,3779,2794,1966,1945
1931,,11003,10051,9191,9170,8242,7160,6136,4870,3865,2876,2014,2038
1932,,11077,10195,9289,9069,8435,7254,6227,5040,3952,2966,2053,2128
1933,,11152,10326,9424,8974,8595,7374,6310,5194,4055,3059,2091,2213
1934,,11238,10448,9574,8941,8699,7529,6404,5325,4177,3152,2139,2291
1935,,11317,10558,9717,8973,8739,7698,6510,5431,4308,3245,2197,2362
1936,,11375,10660,9845,9051,8732,7864,6631,5517,4432,3340,2262,2425
1937,,11411,10768,9955,9164,8702,8012,6773,5593,4539,3441,2334,2483
1938,,11453,10892,10061,9306,8695,8133,6944,5678,4632,3553,2412,2543
1939,,11519,11013,10163,9446,8732,8212,7124,5779,4708,3665,2493,2606
1940,,11611,11126,10272,9585,8820,8272,7280,5903,4791,3782,2585,2664
1941,,11677,11219,10382,9722,8947,8370,7388,6037,4922,3889,2657,2742
1942,,11526,11142,10424,9820,9062,8470,7497,6165,5054,4003,2741,2839
1943,,10990,10945,10373,9850,9164,8571,7606,6288,5181,4117,2824,2926
1944,,9950,10315,10051,9767,9274,8671,7711,6406,5306,4231,2905,3011
1945,,9287,9784,9818,9726,9382,8777,7822,6538,5443,4359,3000,3135
1946,,11474,11717,10980,10425,9600,8881,7926,6672,5570,4477,3089,3262
1947,,11615,11934,11143,10626,9750,8943,8019,6820,5706,4599,3177,3409
1948,,11607,12054,11275,10840,9908,8991,8108,6977,5846,4718,3260,3560
1949,,11517,12164,11416,11071,10077,9044,8208,7149,5995,4844,3350,3727
1950,,11524,12290,11618,11319,10278,9138,8309,7292,6103,5049,3444,3904
1951,,11094,12146,11800,11420,10431,9306,8361,7448,6236,5189,3553,4061
1952,,10656,12026,12015,11523,10599,9525,8398,7546,6402,5311,3679,4213
1953,,10353,11963,12089,11594,10750,9723,8488,7599,6566,5437,3811,4369
1954,,10154,11828,12267,11681,10896,9941,8606,7677,6704,5566,3970,4540
1955,,10299,11699,12372,11801,11032,10150,8722,7787,6834,5681,4127,4717
1956,,10244,11590,12331,12005,11170,10315,8879,7893,6957,5785,4268,4885
1957,,10252,11411,12236,12204,11299,10483,9083,7986,7025,5924,4395,5069
1958,,10433,11154,12198,12289,11412,10646,9267,8135,7046,6055,4521,5230
1959,,10683,10931,12048,12414,11508,10784,9462,8309,7092,6164,4655,5429
1960,10566,10868,10823,11905,12481,11639,10900,9660,8470,7154,6280,4773,5622
1961,10909,11222,10756,11738,12481,11808,10984,9872,8646,7201,6360,4909,5820
1962,11061,11653,10740,11547,12413,12000,11053,10046,8869,7260,6411,5046,6000
1963,11905,12397,10848,11348,12294,12190,11132,10190,9105,7330,6445,5166,6167
1964,12641,12941,11051,11144,12133,12330,11232,10324,9324,7433,6492,5267,6368
1965,13412,13404,11226,11040,11952,12391,11360,10453,9504,7572,6550,5337,6564
1966,14163,13615,11521,10962,11763,12388,11521,10574,9652,7755,6611,5378,6766
1967,14043,14566,11943,10953,11569,12339,11722,10694,9764,7987,6683,5399,6989
1968,14340,15054,12624,11076,11356,12233,11911,10817,9850,8237,6769,5410,7186
1969,14666,15767,13119,11287,11155,12088,12053,10966,9922,8467,6880,5421,7379
1970,15186,16579,13604,11505,11079,11961,12138,11161,10006,8676,7026,5467,7614
1971,15614,17703,13927,11842,11052,11826,12131,11372,10089,8872,7170,5514,7877
1972,15967,17865,15142,12321,11105,11675,12025,11650,10153,9057,7404,5518,8098
1973,16374,18273,15694,13094,11222,11518,11954,11845,10229,9199,7636,5611,8278
1974,16705,18758,16428,13644,11400,11355,11842,11958,10386,9327,7864,5710,8487
1975,16954,19317,17183,14131,11585,11175,11778,11971,10646,9399,8132,5785,8779
1976,17138,19794,18177,14428,11883,11147,11646,11969,10884,9502,8318,5919,9041
1977,17213,20311,18180,15661,12310,11190,11495,11868,11191,9588,8491,6147,9254
1978,17227,20748,18585,16218,13052,11321,11352,11814,11425,9687,8626,6370,9506
1979,17189,21096,19077,16961,13592,11522,11212,11724,11582,9866,8745,6593,9796
1980,17111,21386,19686,17743,14077,11728,11048,11695,11611,10143,8809,6841,10057
1981,16757,21663,20169,18731,14366,12028,10985,11595,11554,10359,8898,6992,10331
1982,16282,21682,20704,18714,15566,12464,11011,11414,11463,10567,9003,7144,10640
1983,15784,21632,21141,19067,16117,13150,11201,11155,11457,10655,9127,7287,10947
1984,15258,21529,21459,19503,16867,13636,11429,10957,11352,10803,9214,7412,11252
1985,14969,21265,21671,20025,17604,14087,11606,10854,11229,10906,9343,7515,11558
1986,14982,20744,21893,20479,18611,14398,11878,10781,11135,10859,9544,7593,11871
1987,15172,20192,21857,20984,18619,15608,12294,10802,10968,10783,9735,7691,12200
1988,15158,19655,21739,21391,18993,16188,12954,10995,10722,10791,9821,7805,12498
1989,14875,19258,21560,21676,19455,16960,13421,11212,10534,10707,9962,7902,12818
1990,14429,19150,21277,21939,19990,17793,13829,11378,10478,10623,10079,8025,13143
1991,13958,19234,20923,22301,20577,18752,14129,11691,10443,10603,10038,8256,13518
1992,13762,19188,20503,22494,21184,18792,15413,12135,10521,10477,9996,8490,13870
1993,13936,18990,20069,22584,21727,19185,16013,12851,10736,10292,10044,8649,14209
1994,14213,18656,19740,22590,22135,19684,16791,13362,11009,10150,10008,8782,14541
1995,14510,18300,19680,22372,22492,20219,17624,13856,11182,10138,9976,8890,14903
1996,15044,17877,19864,21945,22786,20766,18611,14189,11481,10109,9964,8860,15319
1997,15420,17910,19899,21446,22904,21325,18687,15491,11905,10194,9850,8834,15718
1998,15843,18167,19804,20953,22926,21822,19114,16118,12589,10422,9677,8893,16049
1999,16150,18591,19575,20603,22883,22194,19654,16924,13085,10693,9541,8877,16380
