Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.01398000,100000.00000000,1398.00000000,98776.00000000,6994128.00000000,69.94000000,,0.00000000,0.01125000,100000.00000000,1125.00000000,99015.00000000,7751576.00000000,77.52000000
1.00000000,0.00106000,98602.00000000,105.00000000,98550.00000000,6895351.00000000,69.93000000,,1.00000000,0.00086000,98875.00000000,85.00000000,98833.00000000,7652561.00000000,77.40000000
2.00000000,0.00072000,98497.00000000,71.00000000,98462.00000000,6796802.00000000,69.01000000,,2.00000000,0.00056000,98791.00000000,55.00000000,98763.00000000,7553728.00000000,76.46000000
3.00000000,0.00060000,98426.00000000,59.00000000,98397.00000000,6698340.00000000,68.05000000,,3.00000000,0.00042000,98736.00000000,41.00000000,98715.00000000,7454965.00000000,75.50000000
4.00000000,0.00047000,98367.00000000,46.00000000,98345.00000000,6599943.00000000,67.09000000,,4.00000000,0.00031000,98694.00000000,31.00000000,98679.00000000,7356250.00000000,74.54000000
5.00000000,0.00042000,98322.00000000,41.00000000,98301.00000000,6501599.00000000,66.13000000,,5.00000000,0.00029000,98664.00000000,29.00000000,98649.00000000,7257571.00000000,73.56000000
6.00000000,0.00039000,98280.00000000,39.00000000,98261.00000000,6403298.00000000,65.15000000,,6.00000000,0.00028000,98635.00000000,28.00000000,98621.00000000,7158922.00000000,72.58000000
7.00000000,0.00037000,98242.00000000,36.00000000,98224.00000000,6305037.00000000,64.18000000,,7.00000000,0.00026000,98607.00000000,26.00000000,98594.00000000,7060301.00000000,71.60000000
8.00000000,0.00032000,98206.00000000,32.00000000,98190.00000000,6206813.00000000,63.20000000,,8.00000000,0.00024000,98581.00000000,24.00000000,98569.00000000,6961707.00000000,70.62000000
9.00000000,0.00027000,98174.00000000,27.00000000,98161.00000000,6108623.00000000,62.22000000,,9.00000000,0.00022000,98557.00000000,21.00000000,98547.00000000,6863138.00000000,69.64000000
10.00000000,0.00023000,98147.00000000,22.00000000,98136.00000000,6010463.00000000,61.24000000,,10.00000000,0.00019000,98536.00000000,19.00000000,98527.00000000,6764591.00000000,68.65000000
11.00000000,0.00022000,98125.00000000,22.00000000,98114.00000000,5912327.00000000,60.25000000,,11.00000000,0.00018000,98517.00000000,18.00000000,98508.00000000,6666065.00000000,67.66000000
12.00000000,0.00029000,98104.00000000,29.00000000,98089.00000000,5814212.00000000,59.27000000,,12.00000000,0.00020000,98500.00000000,19.00000000,98490.00000000,6567556.00000000,66.68000000
13.00000000,0.00047000,98075.00000000,46.00000000,98052.00000000,5716123.00000000,58.28000000,,13.00000000,0.00025000,98480.00000000,25.00000000,98468.00000000,6469066.00000000,65.69000000
14.00000000,0.00071000,98029.00000000,69.00000000,97994.00000000,5618071.00000000,57.31000000,,14.00000000,0.00033000,98456.00000000,32.00000000,98440.00000000,6370598.00000000,64.71000000
15.00000000,0.00098000,97960.00000000,96.00000000,97912.00000000,5520077.00000000,56.35000000,,15.00000000,0.00041000,98424.00000000,41.00000000,98403.00000000,6272159.00000000,63.73000000
16.00000000,0.00123000,97864.00000000,120.00000000,97804.00000000,5422165.00000000,55.41000000,,16.00000000,0.00050000,98383.00000000,49.00000000,98358.00000000,6173756.00000000,62.75000000
17.00000000,0.00145000,97744.00000000,142.00000000,97673.00000000,5324361.00000000,54.47000000,,17.00000000,0.00056000,98334.00000000,55.00000000,98307.00000000,6075397.00000000,61.78000000
18.00000000,0.00163000,97602.00000000,159.00000000,97522.00000000,5226688.00000000,53.55000000,,18.00000000,0.00059000,98279.00000000,58.00000000,98251.00000000,5977090.00000000,60.82000000
19.00000000,0.00176000,97443.00000000,171.00000000,97357.00000000,5129165.00000000,52.64000000,,19.00000000,0.00060000,98222.00000000,58.00000000,98193.00000000,5878840.00000000,59.85000000
20.00000000,0.00189000,97272.00000000,183.00000000,97180.00000000,5031808.00000000,51.73000000,,20.00000000,0.00060000,98163.00000000,59.00000000,98134.00000000,5780647.00000000,58.89000000
21.00000000,0.00201000,97088.00000000,195.00000000,96991.00000000,4934628.00000000,50.83000000,,21.00000000,0.00061000,98104.00000000,60.00000000,98075.00000000,5682513.00000000,57.92000000
22.00000000,0.00208000,96893.00000000,202.00000000,96793.00000000,4837637.00000000,49.93000000,,22.00000000,0.00062000,98045.00000000,61.00000000,98014.00000000,5584439.00000000,56.96000000
23.00000000,0.00210000,96692.00000000,203.00000000,96590.00000000,4740844.00000000,49.03000000,,23.00000000,0.00063000,97984.00000000,61.00000000,97953.00000000,5486424.00000000,55.99000000
24.00000000,0.00206000,96489.00000000,199.00000000,96390.00000000,4644254.00000000,48.13000000,,24.00000000,0.00064000,97923.00000000,62.00000000,97892.00000000,5388471.00000000,55.03000000
25.00000000,0.00201000,96290.00000000,194.00000000,96193.00000000,4547864.00000000,47.23000000,,25.00000000,0.00065000,97860.00000000,63.00000000,97829.00000000,5290579.00000000,54.06000000
26.00000000,0.00197000,96096.00000000,189.00000000,96002.00000000,4451671.00000000,46.33000000,,26.00000000,0.00066000,97797.00000000,64.00000000,97765.00000000,5192750.00000000,53.10000000
27.00000000,0.00193000,95907.00000000,185.00000000,95814.00000000,4355670.00000000,45.42000000,,27.00000000,0.00067000,97733.00000000,66.00000000,97700.00000000,5094985.00000000,52.13000000
28.00000000,0.00190000,95722.00000000,182.00000000,95631.00000000,4259855.00000000,44.50000000,,28.00000000,0.00069000,97667.00000000,68.00000000,97633.00000000,4997285.00000000,51.17000000
29.00000000,0.00189000,95540.00000000,181.00000000,95449.00000000,4164224.00000000,43.59000000,,29.00000000,0.00072000,97599.00000000,70.00000000,97564.00000000,4899652.00000000,50.20000000
30.00000000,0.00189000,95359.00000000,180.00000000,95269.00000000,4068775.00000000,42.67000000,,30.00000000,0.00075000,97529.00000000,73.00000000,97493.00000000,4802088.00000000,49.24000000
31.00000000,0.00189000,95179.00000000,180.00000000,95089.00000000,3973506.00000000,41.75000000,,31.00000000,0.00079000,97457.00000000,77.00000000,97418.00000000,4704595.00000000,48.27000000
32.00000000,0.00192000,94999.00000000,182.00000000,94908.00000000,3878418.00000000,40.83000000,,32.00000000,0.00083000,97380.00000000,81.00000000,97340.00000000,4607176.00000000,47.31000000
33.00000000,0.00197000,94817.00000000,187.00000000,94724.00000000,3783510.00000000,39.90000000,,33.00000000,0.00089000,97299.00000000,86.00000000,97256.00000000,4509837.00000000,46.35000000
