Date,FR_USA_2019,FR_JAP_2019,FR_MDV_2019,FR_USA_1992,FR_JAP_1992,FR_MDV_1992,LE_USA_2019,LE_JAP_2019,LE_MDV_2019,LE_USA_1992,LE_JAP_1992,LE_MDV_1992
1950-1955,3.311,2.96,2.820129859,3.45,2.75,2.83,68.706,62.803,64.82554657,69,63.9,66
1955-1960,3.5821,2.17,2.793600612,3.71,2.08,2.82,69.664,66.403,67.73215188,69.8,66.8,68.4
1960-1965,3.2336,2.03,2.65962538,3.31,2.01,2.69,70.108,69.156,69.48965114,70,69,69.8
1965-1970,2.5434,2.04,2.384311262,2.55,2,2.44,70.364,71.408,70.32842387,70.4,71.1,70.5
1970-1975,2.0294,2.134,2.155940509,2.02,2.07,2.21,71.425,73.281,71.13368743,71.3,73.3,71.1
1975-1980,1.7718,1.831,1.91938959,1.78,1.81,2,73.252,75.398,72.02303231,73.2,75.5,71.9
1980-1985,1.8044,1.762,1.843846201,1.82,1.76,1.93,74.374,77.012,72.85844211,74.5,76.9,72.7
1985-1990,1.9146,1.65,1.809229352,1.92,1.68,1.92,74.89,78.528,73.95058227,74.9,78.3,73.7
1990-1995,2.0297,1.476,1.669345338,2.07,1.65,1.91,75.646,79.415,74.16262475,75.9,78.7,74.6
1995-2000,1.9965,1.369,1.56500036,2.12,1.65,1.97,76.473,80.51,74.80049574,76.7,79.2,75.5
2000-2005,2.042,1.298,1.576829372,2.05,1.73,2.02,77.178,81.796,75.59674675,77.4,79.7,76.2
2005-2010,2.0553,1.3388,1.675154995,2,1.85,2.05,78.192,82.653,76.9347657,78.1,80.1,76.9
2010-2015,1.875,1.4087,1.667225792,1.9,1.85,2.01,78.941,83.321,78.43301539,78.7,80.5,77.5
2015-2020,1.7764,1.3697,1.64332876,1.85,1.85,1.97,78.812,84.426,79.24477044,79.2,80.9,78.1
2020-2025,1.784,1.3674,1.64698344,1.8,1.85,1.9,79.114,85.03,79.87414401,79.7,81.3,78.6
