"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1908","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","88710000","45594000","43116000","78658000","40542000","38116000","10052000","5052000","5000000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2125000","1080000","1045000","1867000","950000","917000","258000","130000","128000"
"9","1","2102000","1064000","1038000","1841000","934000","907000","261000","130000","131000"
"10","2","2076000","1049000","1027000","1812000","918000","894000","264000","131000","133000"
"11","3","2046000","1033000","1013000","1782000","902000","880000","264000","131000","133000"
"12","4","2015000","1016000","999000","1752000","886000","866000","263000","130000","133000"
"13","5","1981000","999000","982000","1719000","869000","850000","262000","130000","132000"
"14","6","1948000","982000","966000","1688000","853000","835000","260000","129000","131000"
"15","7","1913000","965000","948000","1657000","838000","819000","256000","127000","129000"
"16","8","1880000","949000","931000","1627000","823000","804000","253000","126000","127000"
"17","9","1847000","933000","914000","1599000","809000","790000","248000","124000","124000"
"18","10","1816000","918000","898000","1573000","796000","777000","243000","122000","121000"
"19","11","1785000","904000","881000","1547000","784000","763000","238000","120000","118000"
"20","12","1764000","893000","871000","1530000","775000","755000","234000","118000","116000"
"21","13","1753000","885000","868000","1524000","770000","754000","229000","115000","114000"
"22","14","1753000","881000","872000","1527000","769000","758000","226000","112000","114000"
"23","15","1749000","876000","873000","1529000","768000","761000","220000","108000","112000"
"24","16","1748000","872000","876000","1532000","767000","765000","216000","105000","111000"
"25","17","1749000","871000","878000","1536000","768000","768000","213000","103000","110000"
"26","18","1754000","874000","880000","1541000","772000","769000","213000","102000","111000"
"27","19","1762000","880000","882000","1546000","777000","769000","216000","103000","113000"
"28","20","1769000","886000","883000","1551000","782000","769000","218000","104000","114000"
"29","21","1775000","891000","884000","1556000","787000","769000","219000","104000","115000"
"30","22","1770000","892000","878000","1551000","788000","763000","219000","104000","115000"
"31","23","1744000","883000","861000","1530000","781000","749000","214000","102000","112000"
"32","24","1706000","869000","837000","1500000","770000","730000","206000","99000","107000"
"33","25","1666000","854000","812000","1468000","758000","710000","198000","96000","102000"
"34","26","1628000","840000","788000","1437000","747000","690000","191000","93000","98000"
"35","27","1582000","821000","761000","1401000","732000","669000","181000","89000","92000"
"36","28","1532000","798000","734000","1360000","713000","647000","172000","85000","87000"
"37","29","1480000","772000","708000","1318000","691000","627000","162000","81000","81000"
"38","30","1425000","745000","680000","1274000","669000","605000","151000","76000","75000"
"39","31","1367000","716000","651000","1227000","645000","582000","140000","71000","69000"
"40","32","1322000","694000","628000","1190000","626000","564000","132000","68000","64000"
"41","33","1297000","681000","616000","1168000","615000","553000","129000","66000","63000"
"42","34","1286000","676000","610000","1156000","609000","547000","130000","67000","63000"
"43","35","1273000","669000","604000","1142000","602000","540000","131000","67000","64000"
"44","36","1261000","663000","598000","1129000","595000","534000","132000","68000","64000"
"45","37","1239000","652000","587000","1109000","585000","524000","130000","67000","63000"
"46","38","1199000","632000","567000","1075000","568000","507000","124000","64000","60000"
"47","39","1149000","607000","542000","1034000","548000","486000","115000","59000","56000"
"48","40","1101000","583000","518000","996000","529000","467000","105000","54000","51000"
"49","41","1053000","559000","494000","956000","509000","447000","97000","50000","47000"
"50","42","1011000","538000","473000","920000","491000","429000","91000","47000","44000"
"51","43","974000","518000","456000","887000","473000","414000","87000","45000","42000"
"52","44","942000","501000","441000","857000","457000","400000","85000","44000","41000"
"53","45","909000","483000","426000","826000","440000","386000","83000","43000","40000"
"54","46","873000","464000","409000","793000","422000","371000","80000","42000","38000"
"55","47","845000","450000","395000","766000","408000","358000","79000","42000","37000"
"56","48","825000","440000","385000","748000","399000","349000","77000","41000","36000"
"57","49","810000","434000","376000","734000","393000","341000","76000","41000","35000"
"58","50","793000","427000","366000","720000","387000","333000","73000","40000","33000"
"59","51","780000","422000","358000","708000","382000","326000","72000","40000","32000"
"60","52","758000","411000","347000","688000","372000","316000","70000","39000","31000"
"61","53","717000","388000","329000","651000","351000","300000","66000","37000","29000"
"62","54","664000","358000","306000","605000","325000","280000","59000","33000","26000"
"63","55","613000","329000","284000","561000","300000","261000","52000","29000","23000"
"64","56","563000","301000","262000","517000","275000","242000","46000","26000","20000"
"65","57","521000","277000","244000","480000","254000","226000","41000","23000","18000"
"66","58","496000","262000","234000","456000","240000","216000","40000","22000","18000"
"67","59","483000","254000","229000","443000","232000","211000","40000","22000","18000"
"68","60","467000","245000","222000","427000","223000","204000","40000","22000","18000"
"69","61","455000","238000","217000","413000","215000","198000","42000","23000","19000"
"70","62","436000","227000","209000","396000","205000","191000","40000","22000","18000"
"71","63","416000","216000","200000","378000","195000","183000","38000","21000","17000"
"72","64","390000","202000","188000","356000","183000","173000","34000","19000","15000"
"73","65","366000","189000","177000","335000","172000","163000","31000","17000","14000"
"74","66","345000","178000","167000","316000","162000","154000","29000","16000","13000"
"75","67","321000","165000","156000","296000","151000","145000","25000","14000","11000"
"76","68","299000","153000","146000","277000","141000","136000","22000","12000","10000"
"77","69","276000","141000","135000","256000","130000","126000","20000","11000","9000"
"78","70","255000","130000","125000","237000","120000","117000","18000","10000","8000"
"79","71","234000","119000","115000","217000","110000","107000","17000","9000","8000"
"80","72","213000","107000","106000","197000","99000","98000","16000","8000","8000"
"81","73","193000","97000","96000","177000","89000","88000","16000","8000","8000"
"82","74","174000","87000","87000","157000","79000","78000","17000","8000","9000"
"83","75+","1103000","536000","567000","1006000","490000","516000","97000","46000","51000"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
