"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 4 through 5.","","","","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1965","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","Age","All races","NaN","NaN","White","NaN","NaN","Black","NaN","NaN","Other races","NaN","NaN"
"3","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","All ages","194302963","95608501","98694462","171204758","84417662","86787096","21063732","10152077","10911655","2034473","1038762","995711"
"6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","0","3770049","1916766","1853283","3183569","1623198","1560371","535872","268149","267723","50608","25419","25189"
"8","1","3928418","2001515","1926903","3330355","1701360","1628995","548283","274956","273327","49780","25199","24581"
"9","2","3935365","2004312","1931053","3337804","1704534","1633270","545921","273620","272301","51640","26158","25482"
"10","3","4024448","2047132","1977316","3421397","1745369","1676028","552005","275992","276013","51046","25771","25275"
"11","4","4165561","2120072","2045489","3548148","1811553","1736595","566943","283131","283812","50470","25388","25082"
"12","5","4089460","2081094","2008366","3483769","1778797","1704972","553257","276032","277225","52434","26265","26169"
"13","6","4101067","2080795","2020272","3492867","1777312","1715555","557964","278298","279666","50236","25185","25051"
"14","7","4145207","2108461","2036746","3541590","1805918","1735672","553528","277318","276210","50089","25225","24864"
"15","8","4074807","2075430","1999377","3487853","1780700","1707153","538494","270243","268251","48460","24487","23973"
"16","9","3967031","2020083","1946948","3393104","1732073","1661031","526709","264266","262443","47218","23744","23474"
"17","10","4020780","2049184","1971596","3439248","1757965","1681283","536090","268371","267719","45442","22848","22594"
"18","11","3878958","1973573","1905385","3336311","1702543","1633768","500628","249983","250645","42019","21047","20972"
"19","12","3800029","1935008","1865021","3275361","1672243","1603118","484514","242536","241978","40154","20229","19925"
"20","13","3676247","1869228","1807019","3178223","1621699","1556524","460144","228566","231578","37880","18963","18917"
"21","14","3672861","1865141","1807720","3162686","1610498","1552188","470484","234674","235810","39691","19969","19722"
"22","15","3510524","1786893","1723631","3032413","1547346","1485067","439372","219924","219448","38739","19623","19116"
"23","16","3476677","1766658","1710019","3020008","1538114","1481894","419246","209620","209626","37423","18924","18499"
"24","17","3493366","1774111","1719255","3055759","1554913","1500846","400492","200285","200207","37115","18913","18202"
