Group,1994 ,2004 ,2014 ,2024 
16 to 24,66.4 ,61.1 ,55.0 ,49.7
16 to 19,52.7 ,43.9 ,34.0 ,26.4
20 to 24,77.0 ,75.0 ,70.8 ,68.2
25 to 54,83.4 ,82.8 ,80.9 ,81.2
25 to 34,83.2 ,82.7 ,81.2 ,81.3
35 to 44,84.8 ,83.6 ,82.2 ,81.7
45 to 54,81.7 ,81.8 ,79.6 ,81.0
55 and older,30.1 ,36.2 ,40.0 ,39.4
55 to 64,56.8 ,62.3 ,64.1 ,66.3
  55 to 59,67.7 ,71.1 ,71.4 ,74.2
  60 to 64,44.9 ,50.9 ,55.8 ,58.8
    60 to 61,54.5 ,59.2 ,63.4 ,67.1
    62 to 64,38.7 ,44.4 ,50.2 ,53.2
65 and older,12.4 ,14.4 ,18.6 ,21.7
65 to 74,17.2 ,21.9 ,26.2,29.9
  65 to 69,21.9 ,27.7 ,31.6 ,36.2
  70 to 74,11.8 ,15.3 ,18.9 ,22.8
75 to 79,6.6 ,8.8 ,11.3 ,14.4
75 and older,5.4 ,6.1 ,8.0 ,10.6
