UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,999,309346863,152088043,157258820,119859535,122385313,19259441,21096770,1896089,1856314,7273398,8001329,344628,333410,3454952,3585684,122903267,125524406,20702716,22646642,3066130,3095333,8533968,9279281,671425,668284,126335754,132254992,97064622,100322995,18115667,19897249,1118329,1150286,7023319,7750568,251956,247749,2761861,2886145,99494080,102844758,19260909,21135948,1974968,2077696,8091603,8833845,510936,514668,25752289,25003828,22794913,22062318,1143774,1199521,777760,706028,250079,250761,92672,85661,693091,699539,23409187,22679648,1441807,1510694,1091162,1017637,442365,445436,160489,153616
R,7,2010,0,3951330,2018420,1932910,1464084,1397703,303322,294390,32498,31658,93707,88306,5873,5643,118936,115210,1573742,1503702,367339,356979,56913,55604,136968,129716,14342,13765,1498619,1432303,1020054,969998,275166,267296,17182,17024,87725,82662,3892,3699,94600,91624,1107724,1054714,327045,317872,33060,32746,123464,116930,10068,9568,519801,500607,444030,427705,28156,27094,15316,14634,5982,5644,1981,1944,24336,23586,466018,448988,40294,39107,23853,22858,13504,12786,4274,4197
R,7,2010,1,3957888,2020332,1937556,1466003,1400005,305720,297736,32673,31672,94076,90252,5908,5837,115952,112054,1572534,1503106,368226,358830,56549,54331,136118,130435,14128,13798,1506818,1443461,1027401,978161,277560,270425,17381,16962,88043,84578,3888,3865,92545,89470,1112863,1060915,328481,320255,32983,31690,122903,117991,9910,9695,513514,494095,438602,421844,28160,27311,15292,14710,6033,5674,2020,1972,23407,22584,459671,442191,39745,38575,23566,22641,13215,12444,4218,4103
R,7,2010,2,4090862,2088685,2002177,1517195,1446928,315756,307751,34027,32815,99354,96131,6128,5869,116225,112683,1623876,1550357,378279,369413,57870,55911,141522,136337,14620,13760,1557086,1492987,1061392,1011130,287059,280052,18024,17586,93467,90408,4072,3835,93072,89976,1147215,1094077,338269,330425,33669,32583,128556,123766,10280,9626,531599,509190,455803,435798,28697,27699,16003,15229,5887,5723,2056,2034,23153,22707,476661,456280,40010,38988,24201,23328,12966,12571,4340,4134
R,7,2010,3,4111920,2101272,2010648,1532555,1460923,316613,306099,34585,33050,98813,95246,6088,5956,112618,109374,1635964,1561116,376939,365236,58094,55947,139687,134423,14305,13897,1569994,1500905,1076617,1023074,288368,279110,18058,17719,92819,89644,4069,3934,90063,87424,1159740,1103505,337666,327579,33512,32652,126711,122222,10101,9741,531278,509743,455938,437849,28245,26989,16527,15331,5994,5602,2019,2022,22555,21950,476224,457611,39273,37657,24582,23295,12976,12201,4204,4156
R,7,2010,4,4077551,2084312,1993239,1530827,1455341,307596,299990,33849,32591,98036,95733,5977,5720,108027,103864,1629943,1550602,364612,355354,56864,54578,137621,133366,13839,13232,1564672,1495133,1082753,1026127,280854,273955,18061,17549,92281,90436,3982,3810,86741,83256,1162672,1102814,327719,319499,33210,31973,125376,121766,9788,9301,519640,498106,448074,429214,26742,26035,15788,15042,5755,5297,1995,1910,21286,20608,467271,447788,36893,35855,23654,22605,12245,11600,4051,3931
R,7,2010,5,4064653,2076573,1988080,1530747,1456107,303996,294409,33448,32642,98996,98726,5965,5724,103421,100472,1625401,1547893,357850,347273,56093,54441,137194,135336,13495,12985,1568007,1501616,1091223,1036226,278153,269364,18017,17566,93474,93549,4029,3940,83111,80971,1167638,1110475,322421,313008,32956,31941,125489,124321,9584,9352,508566,486464,439524,419881,25843,25045,15431,15076,5522,5177,1936,1784,20310,19501,457763,437418,35429,34265,23137,22500,11705,11015,3911,3633
R,7,2010,6,4073013,2079410,1993603,1540699,1467009,301623,292591,32587,31916,98871,99454,5765,5444,99865,97189,1632104,1555948,352897,343115,54751,53515,135987,135066,13143,12588,1583854,1516352,1111003,1053813,276906,268579,17901,17310,93503,94416,3984,3723,80557,78511,1185074,1125917,319214,310381,32744,31925,124675,124325,9481,8992,495556,477251,429696,413196,24717,24012,14686,14606,5368,5038,1781,1721,19308,18678,447030,430031,33683,32734,22007,21590,11312,10741,3662,3596
R,7,2010,7,4043046,2063139,1979907,1532263,1460241,299550,291235,32326,31272,98143,98973,5722,5437,95135,92749,1619063,1545029,348174,338702,54120,52644,133243,133079,12952,12216,1577266,1511151,1110324,1053392,275435,268109,17644,17006,92961,93954,3943,3749,76959,74941,1180832,1122215,315696,307396,32346,31469,122512,122571,9334,8862,485873,468756,421939,406849,24115,23126,14682,14266,5182,5019,1779,1688,18176,17808,438231,422814,32478,31306,21774,21175,10731,10508,3618,3354
R,7,2010,8,4025604,2054462,1971142,1526974,1454999,304754,296008,32235,30979,93631,93948,5543,5308,91325,89900,1610295,1536802,351310,342456,53751,52459,126970,126195,12437,12039,1574948,1509686,1109807,1054070,281092,272988,17819,17135,88656,89185,3858,3640,73716,72668,1177338,1120526,319698,311488,32279,31712,116578,116207,9061,8708,479514,461456,417167,400929,23662,23020,14416,13844,4975,4763,1685,1668,17609,17232,432957,416276,31612,30968,21472,20747,10392,9988,3376,3331
R,7,2010,9,4125415,2107037,2018378,1563800,1489574,316004,306221,32426,31457,97412,96766,5551,5466,91844,88894,1647335,1570541,362665,351786,54560,52817,130896,128728,12549,12266,1624287,1554241,1143272,1085515,292254,283408,18235,17605,92468,92078,3911,3733,74147,71902,1210898,1151268,330859,321261,33360,32210,120611,118951,9154,8848,482750,464137,420528,404059,23750,22813,14191,13852,4944,4688,1640,1733,17697,16992,436437,419273,31806,30525,21200,20607,10285,9777,3395,3418
R,7,2010,10,4187062,2142167,2044895,1591538,1510110,325913,314681,33388,31969,95327,94736,5770,5387,90231,88012,1673722,1589877,371616,360092,55983,53880,127476,125807,12618,12102,1658615,1582288,1169916,1107441,302209,291711,18971,18058,90385,90039,4062,3780,73072,71259,1236693,1172259,340150,329418,34471,33208,117506,116085,9256,8838,483552,462607,421622,402669,23704,22970,14417,13911,4942,4697,1708,1607,17159,16753,437029,417618,31466,30674,21512,20672,9970,9722,3362,3264
