date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1947:Q1;;;;;;;;;;0.33;;;;;0.19;;;;;;
1947:Q2;1.22;1.73;1.48;-0.52;2.00;5.13;0.51;;0.51;0.33;-0.18;1.14;-1.32;-4.47;0.19;-3.80;0.67;0.41;1.31;-4.20;-0.64
1947:Q3;-0.94;0.77;-0.08;3.09;-3.17;3.94;0.49;;0.49;0.33;-3.78;-5.41;1.63;5.97;0.19;1.07;-4.90;-9.27;-4.51;10.34;-0.39
1947:Q4;8.27;5.46;6.86;3.03;3.84;3.15;0.46;;0.46;0.33;3.48;5.17;-1.69;5.19;0.19;7.68;2.49;13.18;3.26;-5.51;-0.78
1948:Q1;7.17;12.80;9.98;-2.07;12.05;3.72;0.44;;0.44;0.33;9.86;-2.33;12.19;4.60;0.19;13.57;8.97;-6.29;-1.39;19.86;10.35
1948:Q2;8.23;11.24;9.74;0.19;9.55;4.32;0.33;;0.33;0.33;7.98;-0.59;8.57;-4.17;0.19;4.59;8.76;-7.82;1.08;12.41;7.68
1948:Q3;1.69;-0.57;0.56;3.65;-3.09;4.55;0.21;;0.21;0.33;-3.52;-4.87;1.35;-8.89;0.19;-10.71;-1.83;-0.38;-5.93;-10.33;4.10
1948:Q4;-0.30;1.40;0.55;-2.57;3.12;4.75;0.09;;0.09;0.32;0.69;-2.16;2.84;-4.85;0.19;-3.23;1.62;0.56;-2.81;-3.79;4.43
1949:Q1;-6.89;-9.67;-8.28;-5.67;-2.61;4.75;-0.03;;-0.03;0.32;-5.96;-4.10;-1.86;-2.37;0.19;-7.88;-5.51;-8.43;-3.08;0.56;-2.43
1949:Q2;-2.00;-1.85;-1.92;-3.63;1.70;3.33;0.25;;0.25;0.32;-0.72;-6.94;6.22;-2.85;0.20;-3.00;-0.15;-12.58;-5.54;9.58;5.39
